"ENSEMBLId"	"TargetCellType"	"dataCellSet"	"NSForest_markers"	"clusterSize"	"f_score"	"marker_count"	"data"	"pi_null"	"pi_off"	"prior_prob_off"	"prior_prob_on"	"expProb"	"targeted"	"expected_value"	"predicted_value"	"ENSEMBLId_TargetCellType_dataCellSet"	"on_off_expProb"
"ENSG00000007933"	"Multiciliated (nasal)"	"Adventitial fibroblasts"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.0172292402086845	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Adventitial fibroblasts"	0.999999999999908
"ENSG00000007933"	"Multiciliated (nasal)"	"Alveolar fibroblasts"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.275182980335728	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Alveolar fibroblasts"	1
"ENSG00000007933"	"Multiciliated (nasal)"	"Alveolar macrophages"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	2.83316911597886e-10	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Alveolar macrophages"	0.0370512957592046
"ENSG00000007933"	"Multiciliated (nasal)"	"Alveolar Mph CCL3+"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	3.91376167585555e-13	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Alveolar Mph CCL3+"	0.00971349955175249
"ENSG00000007933"	"Multiciliated (nasal)"	"Alveolar Mph MT-positive"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	1.39941768451113e-08	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Alveolar Mph MT-positive"	0.0311429562891224
"ENSG00000007933"	"Multiciliated (nasal)"	"Alveolar Mph proliferating"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	3.28037957908478e-10	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Alveolar Mph proliferating"	0.017950585411308
"ENSG00000007933"	"Multiciliated (nasal)"	"AT0"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.000517724973464473	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) AT0"	0.961741938931506
"ENSG00000007933"	"Multiciliated (nasal)"	"AT1"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	5.61461901860127e-07	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) AT1"	0.12215542259457
"ENSG00000007933"	"Multiciliated (nasal)"	"AT2"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	1.64396905810715e-10	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) AT2"	0.0343539992278586
"ENSG00000007933"	"Multiciliated (nasal)"	"AT2 proliferating"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	7.13985425504493e-08	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) AT2 proliferating"	0.0648365336163432
"ENSG00000007933"	"Multiciliated (nasal)"	"B cells"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	3.29134176343948e-07	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) B cells"	0.0932498658784594
"ENSG00000007933"	"Multiciliated (nasal)"	"Basal resting"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.109515453811639	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Basal resting"	1
"ENSG00000007933"	"Multiciliated (nasal)"	"CD4 T cells"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	1.35828897485091e-06	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) CD4 T cells"	0.173613306741511
"ENSG00000007933"	"Multiciliated (nasal)"	"CD8 T cells"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	9.7153482806922e-05	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) CD8 T cells"	0.755814679234422
"ENSG00000007933"	"Multiciliated (nasal)"	"Classical monocytes"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	1.54884277070444e-08	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Classical monocytes"	0.0608609280652959
"ENSG00000007933"	"Multiciliated (nasal)"	"Club (nasal)"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.49085260410221	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Club (nasal)"	1
"ENSG00000007933"	"Multiciliated (nasal)"	"Club (non-nasal)"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.119679236505972	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Club (non-nasal)"	1
"ENSG00000007933"	"Multiciliated (nasal)"	"DC1"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	1.0131104421357e-06	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) DC1"	0.0856252397979318
"ENSG00000007933"	"Multiciliated (nasal)"	"DC2"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	2.46977624204781e-06	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) DC2"	0.210174647035494
"ENSG00000007933"	"Multiciliated (nasal)"	"Deuterosomal"	"FMO3"	4869	0.587560540402753	3	"hlca"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	0.164746570626297	FALSE	"0"	"0"	"ENSG00000007933 Multiciliated (nasal) Deuterosomal"	1
